text,emotion
That really pissed me off. This is completely unacceptable. I'm furious about what happened.,anger
I'm scared of what will happen. I'm terrified right now. I'm scared of what will happen.,fear
This situation makes me nervous.,fear
This is completely unacceptable. This is completely unacceptable.,anger
I adore everything about you. I love you so much.,love
That's so unexpected.,surprise
This gives me anxiety.,fear
I have a bad feeling.,fear
That really pissed me off.,anger
I feel so close to you. I love you so much. My heart is full of love.,love
I'm so angry right now. That really pissed me off.,anger
I have a bad feeling.,fear
I just want to cry.,sadness
This is completely unacceptable.,anger
This makes me feel hopeless. I just want to cry. This makes me feel hopeless.,sadness
I feel so close to you. My heart is full of love. My heart is full of love.,love
This situation makes me nervous.,fear
Everything seems so gloomy.,sadness
That really pissed me off. I'm so angry right now.,anger
This makes me really happy. I can't stop smiling. Life is wonderful.,joy
I'm feeling down today.,sadness
My heart is full of love. My heart is full of love.,love
What a surprise!,surprise
This gives me anxiety.,fear
"Wow, I didn't expect that! That's so unexpected. What a surprise!",surprise
This situation makes me nervous.,fear
I'm so angry right now. I can't believe they did that. I can't believe they did that.,anger
I'm scared of what will happen.,fear
I'm feeling down today. This makes me feel hopeless.,sadness
I'm furious about what happened. This is completely unacceptable. This is completely unacceptable.,anger
This makes me feel hopeless.,sadness
Everything seems so gloomy. Everything seems so gloomy.,sadness
I'm feeling down today. This makes me feel hopeless. Everything seems so gloomy.,sadness
Everything seems so gloomy. Everything seems so gloomy. I miss the good old days.,sadness
You're the best thing in my life. I feel so close to you. I love you so much.,love
I can't believe it! That's so unexpected. What a surprise!,surprise
I'm feeling amazing today!,joy
What a beautiful day!,joy
What a beautiful day!,joy
That's so unexpected. I can't believe it!,surprise
I'm feeling amazing today! What a beautiful day!,joy
I'm scared of what will happen. I'm scared of what will happen.,fear
I miss the good old days.,sadness
I have a bad feeling. I'm terrified right now.,fear
I love you so much. I adore everything about you.,love
I'm feeling down today.,sadness
This makes me feel hopeless. I just want to cry.,sadness
My heart is full of love. I love you so much. My heart is full of love.,love
I'm furious about what happened. I can't believe they did that. I can't believe they did that.,anger
I'm terrified right now.,fear
I have a bad feeling.,fear
This makes me really happy. What a beautiful day! What a beautiful day!,joy
This gives me anxiety. This situation makes me nervous.,fear
I'm terrified right now.,fear
I adore everything about you. You're the best thing in my life. My heart is full of love.,love
I love you so much.,love
"What a surprise! Wow, I didn't expect that! That's so unexpected.",surprise
"Wow, I didn't expect that!",surprise
I love you so much. I love you so much.,love
I adore everything about you.,love
I just want to cry. I'm feeling down today. Everything seems so gloomy.,sadness
I can't believe it! I can't believe it! What a surprise!,surprise
This gives me anxiety. This situation makes me nervous.,fear
I'm so angry right now. I'm so angry right now.,anger
I'm terrified right now. I'm scared of what will happen.,fear
I'm terrified right now. I'm scared of what will happen.,fear
This makes me feel hopeless. I'm feeling down today. This makes me feel hopeless.,sadness
What a surprise!,surprise
I'm feeling down today.,sadness
This makes me feel hopeless. I'm feeling down today. I miss the good old days.,sadness
What a beautiful day! This makes me really happy. Life is wonderful.,joy
Life is wonderful. I'm feeling amazing today! I can't stop smiling.,joy
What a beautiful day! Life is wonderful. This makes me really happy.,joy
I can't believe they did that. I'm furious about what happened.,anger
This makes me really happy.,joy
My heart is full of love.,love
That really pissed me off.,anger
I'm feeling down today. This makes me feel hopeless. This makes me feel hopeless.,sadness
That's so unexpected. What a surprise!,surprise
That really pissed me off. I'm furious about what happened. I'm furious about what happened.,anger
I love you so much. My heart is full of love. I feel so close to you.,love
I'm so angry right now. I'm furious about what happened. This is completely unacceptable.,anger
I'm feeling down today. I just want to cry. I'm feeling down today.,sadness
"Wow, I didn't expect that! What a surprise!",surprise
I just want to cry. Everything seems so gloomy. This makes me feel hopeless.,sadness
"Wow, I didn't expect that!",surprise
I have a bad feeling. This gives me anxiety.,fear
I love you so much. You're the best thing in my life. You're the best thing in my life.,love
I'm furious about what happened. I can't believe they did that.,anger
That's so unexpected. What a surprise! I can't believe it!,surprise
I'm feeling down today. Everything seems so gloomy.,sadness
This gives me anxiety. This gives me anxiety.,fear
"Wow, I didn't expect that!",surprise
What a beautiful day! This makes me really happy.,joy
This makes me feel hopeless. I miss the good old days.,sadness
This makes me feel hopeless. I miss the good old days. I'm feeling down today.,sadness
I'm so angry right now.,anger
I'm feeling down today.,sadness
Life is wonderful. This makes me really happy. This makes me really happy.,joy
I'm feeling down today.,sadness
What a beautiful day! I'm feeling amazing today! I'm feeling amazing today!,joy
I'm feeling down today. I miss the good old days. Everything seems so gloomy.,sadness
That really shocked me. I can't believe it! I can't believe it!,surprise
This makes me really happy. This makes me really happy. What a beautiful day!,joy
My heart is full of love. You're the best thing in my life. I love you so much.,love
This gives me anxiety.,fear
This makes me feel hopeless.,sadness
This makes me feel hopeless. I'm feeling down today.,sadness
This gives me anxiety. I have a bad feeling. I'm scared of what will happen.,fear
I love you so much. I feel so close to you. You're the best thing in my life.,love
I can't stop smiling. I can't stop smiling.,joy
This gives me anxiety.,fear
"Wow, I didn't expect that!",surprise
I have a bad feeling. I'm scared of what will happen. I have a bad feeling.,fear
You're the best thing in my life. My heart is full of love. I love you so much.,love
I'm furious about what happened.,anger
I'm scared of what will happen. I have a bad feeling.,fear
This makes me really happy. This makes me really happy.,joy
I feel so close to you. My heart is full of love.,love
This is completely unacceptable. This is completely unacceptable. I'm so angry right now.,anger
I feel so close to you. You're the best thing in my life. My heart is full of love.,love
I miss the good old days.,sadness
This makes me feel hopeless.,sadness
I adore everything about you. You're the best thing in my life. I adore everything about you.,love
What a beautiful day!,joy
I can't stop smiling. I'm feeling amazing today! This makes me really happy.,joy
"Wow, I didn't expect that! Wow, I didn't expect that!",surprise
I can't believe they did that. That really pissed me off.,anger
I'm feeling amazing today!,joy
This makes me feel hopeless.,sadness
What a surprise!,surprise
This gives me anxiety.,fear
"Wow, I didn't expect that! Wow, I didn't expect that!",surprise
Life is wonderful.,joy
What a beautiful day! I'm feeling amazing today! Life is wonderful.,joy
That really shocked me. That really shocked me. What a surprise!,surprise
My heart is full of love.,love
Everything seems so gloomy.,sadness
I'm so angry right now.,anger
I have a bad feeling. This situation makes me nervous. I have a bad feeling.,fear
I adore everything about you. You're the best thing in my life. I adore everything about you.,love
I can't believe it! That really shocked me.,surprise
I'm so angry right now. That really pissed me off.,anger
That really pissed me off. I'm furious about what happened. This is completely unacceptable.,anger
I can't stop smiling.,joy
This situation makes me nervous. This situation makes me nervous. This situation makes me nervous.,fear
This is completely unacceptable. This is completely unacceptable.,anger
That really shocked me. That really shocked me.,surprise
My heart is full of love.,love
My heart is full of love.,love
This makes me feel hopeless. Everything seems so gloomy.,sadness
I'm furious about what happened. I'm so angry right now.,anger
What a surprise! What a surprise!,surprise
I have a bad feeling. I'm scared of what will happen.,fear
"What a surprise! That's so unexpected. Wow, I didn't expect that!",surprise
This gives me anxiety. This gives me anxiety. This gives me anxiety.,fear
My heart is full of love. I love you so much.,love
You're the best thing in my life.,love
You're the best thing in my life.,love
My heart is full of love. I feel so close to you. I adore everything about you.,love
I'm feeling down today. I just want to cry. Everything seems so gloomy.,sadness
I'm feeling down today.,sadness
I'm terrified right now.,fear
I can't stop smiling. What a beautiful day!,joy
I'm furious about what happened. I can't believe they did that.,anger
This makes me really happy. I can't stop smiling.,joy
I love you so much. You're the best thing in my life.,love
This situation makes me nervous. This gives me anxiety.,fear
This gives me anxiety. I have a bad feeling. This gives me anxiety.,fear
I can't believe they did that.,anger
You're the best thing in my life. You're the best thing in my life. My heart is full of love.,love
That really shocked me. What a surprise! What a surprise!,surprise
This makes me feel hopeless. I just want to cry. I'm feeling down today.,sadness
I just want to cry. This makes me feel hopeless. I miss the good old days.,sadness
I'm terrified right now. I'm scared of what will happen. This gives me anxiety.,fear
I just want to cry. I'm feeling down today. I miss the good old days.,sadness
I have a bad feeling. This gives me anxiety. This gives me anxiety.,fear
I'm so angry right now.,anger
"That really shocked me. Wow, I didn't expect that!",surprise
Life is wonderful. I'm feeling amazing today! Life is wonderful.,joy
I can't stop smiling.,joy
Everything seems so gloomy. I just want to cry.,sadness
What a surprise! I can't believe it!,surprise
I'm furious about what happened. I can't believe they did that. This is completely unacceptable.,anger
I love you so much. I feel so close to you. I adore everything about you.,love
This gives me anxiety. I'm scared of what will happen. This situation makes me nervous.,fear
Life is wonderful. I'm feeling amazing today! Life is wonderful.,joy
This makes me feel hopeless.,sadness
This gives me anxiety. I'm terrified right now.,fear
I love you so much. I love you so much. I love you so much.,love
This situation makes me nervous.,fear
I'm scared of what will happen. I'm scared of what will happen.,fear
That really shocked me.,surprise
I'm feeling down today. I miss the good old days.,sadness
Everything seems so gloomy. I miss the good old days.,sadness
This is completely unacceptable. I can't believe they did that.,anger
I'm so angry right now.,anger
I miss the good old days. Everything seems so gloomy. This makes me feel hopeless.,sadness
That's so unexpected.,surprise
I'm terrified right now. I'm terrified right now. I have a bad feeling.,fear
My heart is full of love.,love
I feel so close to you.,love
That's so unexpected. That really shocked me.,surprise
I'm furious about what happened. This is completely unacceptable.,anger
Life is wonderful. I can't stop smiling. I can't stop smiling.,joy
I'm so angry right now. I'm so angry right now. This is completely unacceptable.,anger
I'm feeling amazing today!,joy
I'm feeling amazing today! Life is wonderful.,joy
That really pissed me off. I'm furious about what happened.,anger
I love you so much.,love
This situation makes me nervous.,fear
I have a bad feeling. This gives me anxiety. I'm terrified right now.,fear
Everything seems so gloomy.,sadness
"Wow, I didn't expect that!",surprise
This situation makes me nervous. I have a bad feeling.,fear
I'm furious about what happened.,anger
"I can't believe it! Wow, I didn't expect that! I can't believe it!",surprise
I'm terrified right now. I have a bad feeling. This gives me anxiety.,fear
Life is wonderful.,joy
I'm terrified right now. This situation makes me nervous. This gives me anxiety.,fear
I adore everything about you. I love you so much.,love
I feel so close to you.,love
Everything seems so gloomy.,sadness
This makes me feel hopeless. This makes me feel hopeless. This makes me feel hopeless.,sadness
I'm furious about what happened. That really pissed me off. I'm so angry right now.,anger
I can't stop smiling. This makes me really happy.,joy
I can't believe it!,surprise
You're the best thing in my life. You're the best thing in my life. I love you so much.,love
I can't stop smiling. This makes me really happy. I'm feeling amazing today!,joy
I'm so angry right now. I'm so angry right now. I can't believe they did that.,anger
You're the best thing in my life. My heart is full of love. I love you so much.,love
I can't believe they did that. I'm furious about what happened. I'm furious about what happened.,anger
I'm feeling down today. Everything seems so gloomy. I just want to cry.,sadness
I'm terrified right now.,fear
You're the best thing in my life.,love
You're the best thing in my life.,love
This gives me anxiety. I have a bad feeling. This gives me anxiety.,fear
You're the best thing in my life. I feel so close to you.,love
I can't believe they did that.,anger
What a surprise! I can't believe it!,surprise
This situation makes me nervous.,fear
You're the best thing in my life. I adore everything about you. You're the best thing in my life.,love
I can't stop smiling. Life is wonderful.,joy
This makes me really happy. I can't stop smiling. What a beautiful day!,joy
I miss the good old days. I just want to cry. Everything seems so gloomy.,sadness
I adore everything about you.,love
I love you so much.,love
I feel so close to you. I love you so much. I adore everything about you.,love
This makes me feel hopeless. I miss the good old days.,sadness
This makes me feel hopeless. I just want to cry. Everything seems so gloomy.,sadness
I miss the good old days.,sadness
What a surprise! I can't believe it! What a surprise!,surprise
I'm scared of what will happen.,fear
I feel so close to you. I feel so close to you. I adore everything about you.,love
This is completely unacceptable.,anger
I'm terrified right now. I have a bad feeling.,fear
That's so unexpected.,surprise
I can't believe they did that. I'm furious about what happened.,anger
That really pissed me off. I'm furious about what happened. That really pissed me off.,anger
I'm furious about what happened. That really pissed me off. That really pissed me off.,anger
What a surprise! I can't believe it!,surprise
I can't believe they did that. I'm so angry right now. I can't believe they did that.,anger
I can't believe they did that. This is completely unacceptable. This is completely unacceptable.,anger
This is completely unacceptable. This is completely unacceptable.,anger
I can't believe it!,surprise
This makes me feel hopeless. I miss the good old days.,sadness
What a surprise!,surprise
I can't believe it!,surprise
That really pissed me off.,anger
I'm feeling amazing today! What a beautiful day!,joy
What a beautiful day!,joy
You're the best thing in my life.,love
I can't believe they did that. That really pissed me off.,anger
I'm terrified right now.,fear
"Wow, I didn't expect that!",surprise
I'm feeling down today.,sadness
I'm so angry right now. I'm so angry right now.,anger
This situation makes me nervous. I'm scared of what will happen. I'm scared of what will happen.,fear
"Wow, I didn't expect that!",surprise
What a beautiful day! What a beautiful day!,joy
What a beautiful day! What a beautiful day! I'm feeling amazing today!,joy
This makes me really happy. This makes me really happy.,joy
Life is wonderful. This makes me really happy. What a beautiful day!,joy
That really shocked me.,surprise
I feel so close to you. You're the best thing in my life. I adore everything about you.,love
I'm furious about what happened. I can't believe they did that. I'm so angry right now.,anger
You're the best thing in my life. My heart is full of love.,love
That really shocked me. That really shocked me.,surprise
I'm feeling down today.,sadness
This makes me really happy.,joy
I'm furious about what happened.,anger
I'm so angry right now. This is completely unacceptable.,anger
What a surprise! That's so unexpected.,surprise
My heart is full of love. I feel so close to you. You're the best thing in my life.,love
"What a surprise! That really shocked me. Wow, I didn't expect that!",surprise
I have a bad feeling. I'm terrified right now. I'm terrified right now.,fear
This makes me feel hopeless. I miss the good old days.,sadness
That's so unexpected.,surprise
Everything seems so gloomy.,sadness
This makes me feel hopeless. I miss the good old days.,sadness
I'm feeling amazing today! I can't stop smiling. What a beautiful day!,joy
Everything seems so gloomy.,sadness
I have a bad feeling. This situation makes me nervous. I have a bad feeling.,fear
You're the best thing in my life. I love you so much.,love
I'm scared of what will happen.,fear
My heart is full of love.,love
This makes me really happy. I can't stop smiling.,joy
I'm feeling amazing today!,joy
I'm feeling amazing today! I'm feeling amazing today! What a beautiful day!,joy
"I can't believe it! Wow, I didn't expect that! I can't believe it!",surprise
I'm furious about what happened. I can't believe they did that. That really pissed me off.,anger
That really shocked me. That's so unexpected.,surprise
This gives me anxiety.,fear
I miss the good old days. This makes me feel hopeless.,sadness
I just want to cry.,sadness
I can't stop smiling. This makes me really happy. This makes me really happy.,joy
I'm feeling amazing today! What a beautiful day!,joy
I'm feeling amazing today! This makes me really happy.,joy
I'm feeling amazing today! Life is wonderful.,joy
This makes me really happy. I'm feeling amazing today!,joy
That really pissed me off.,anger
I can't stop smiling.,joy
I'm scared of what will happen. This gives me anxiety.,fear
I'm scared of what will happen.,fear
I just want to cry. This makes me feel hopeless.,sadness
This makes me feel hopeless.,sadness
I'm terrified right now. I have a bad feeling. I'm scared of what will happen.,fear
This is completely unacceptable. This is completely unacceptable.,anger
I can't believe they did that. That really pissed me off.,anger
"Wow, I didn't expect that! That's so unexpected. What a surprise!",surprise
I have a bad feeling.,fear
What a beautiful day! This makes me really happy.,joy
That really pissed me off. That really pissed me off.,anger
Everything seems so gloomy.,sadness
This is completely unacceptable. This is completely unacceptable. I can't believe they did that.,anger
Everything seems so gloomy. I just want to cry.,sadness
This situation makes me nervous. This gives me anxiety.,fear
This makes me feel hopeless. This makes me feel hopeless.,sadness
Everything seems so gloomy. This makes me feel hopeless.,sadness
You're the best thing in my life. My heart is full of love. I love you so much.,love
This makes me really happy. What a beautiful day!,joy
"Wow, I didn't expect that! What a surprise!",surprise
I adore everything about you. You're the best thing in my life.,love
I love you so much. I feel so close to you.,love
I can't believe it! That really shocked me. That's so unexpected.,surprise
I have a bad feeling. I have a bad feeling.,fear
I love you so much.,love
"Wow, I didn't expect that! I can't believe it!",surprise
I'm scared of what will happen. I have a bad feeling. This situation makes me nervous.,fear
What a surprise!,surprise
That really shocked me.,surprise
What a beautiful day!,joy
I can't believe they did that.,anger
What a surprise! That's so unexpected. That really shocked me.,surprise
That's so unexpected.,surprise
Everything seems so gloomy. I'm feeling down today. This makes me feel hopeless.,sadness
I'm so angry right now.,anger
This is completely unacceptable.,anger
I'm scared of what will happen. I'm scared of what will happen. This gives me anxiety.,fear
This situation makes me nervous. This gives me anxiety.,fear
I love you so much. I feel so close to you.,love
I miss the good old days. I'm feeling down today. This makes me feel hopeless.,sadness
I can't believe it! I can't believe it! I can't believe it!,surprise
I miss the good old days.,sadness
I adore everything about you. I feel so close to you.,love
I miss the good old days. I just want to cry. I just want to cry.,sadness
I can't believe it! What a surprise!,surprise
I miss the good old days. I just want to cry.,sadness
I'm furious about what happened. I can't believe they did that.,anger
I adore everything about you. I feel so close to you. My heart is full of love.,love
"That's so unexpected. Wow, I didn't expect that! I can't believe it!",surprise
My heart is full of love. I love you so much.,love
That really pissed me off. I'm furious about what happened. I can't believe they did that.,anger
You're the best thing in my life. My heart is full of love.,love
This makes me feel hopeless. I miss the good old days.,sadness
"What a surprise! Wow, I didn't expect that! What a surprise!",surprise
I have a bad feeling. I'm terrified right now. This gives me anxiety.,fear
I'm feeling down today. I'm feeling down today. Everything seems so gloomy.,sadness
You're the best thing in my life. I feel so close to you. I feel so close to you.,love
I can't believe it! I can't believe it!,surprise
I adore everything about you. I adore everything about you. I love you so much.,love
I'm so angry right now. I'm furious about what happened. This is completely unacceptable.,anger
This situation makes me nervous.,fear
I'm feeling amazing today! I can't stop smiling.,joy
I have a bad feeling. This gives me anxiety.,fear
This situation makes me nervous. I'm terrified right now. This situation makes me nervous.,fear
I'm furious about what happened.,anger
I can't believe it!,surprise
I'm feeling down today. Everything seems so gloomy. This makes me feel hopeless.,sadness
"Wow, I didn't expect that!",surprise
I can't believe it!,surprise
I'm so angry right now. I'm furious about what happened.,anger
I adore everything about you. I feel so close to you.,love
I love you so much. You're the best thing in my life. My heart is full of love.,love
Everything seems so gloomy. I miss the good old days. This makes me feel hopeless.,sadness
You're the best thing in my life. I love you so much. I adore everything about you.,love
I'm feeling down today. I miss the good old days.,sadness
What a surprise!,surprise
I'm so angry right now. I can't believe they did that.,anger
Life is wonderful. What a beautiful day! This makes me really happy.,joy
"Wow, I didn't expect that! Wow, I didn't expect that! That's so unexpected.",surprise
This situation makes me nervous. I'm scared of what will happen.,fear
I feel so close to you. I feel so close to you.,love
You're the best thing in my life. You're the best thing in my life. I feel so close to you.,love
"That's so unexpected. Wow, I didn't expect that! That really shocked me.",surprise
That really pissed me off. I can't believe they did that. I'm furious about what happened.,anger
I adore everything about you. My heart is full of love. I adore everything about you.,love
This is completely unacceptable. I can't believe they did that. That really pissed me off.,anger
I'm feeling amazing today! What a beautiful day! I'm feeling amazing today!,joy
That really shocked me. What a surprise! That really shocked me.,surprise
"That really shocked me. Wow, I didn't expect that!",surprise
Life is wonderful. What a beautiful day!,joy
That really pissed me off. I'm furious about what happened.,anger
This is completely unacceptable.,anger
That really shocked me.,surprise
I'm furious about what happened. I'm so angry right now. That really pissed me off.,anger
I'm furious about what happened. This is completely unacceptable.,anger
This makes me really happy.,joy
I'm scared of what will happen.,fear
I can't believe they did that. I'm furious about what happened. I'm so angry right now.,anger
My heart is full of love.,love
I have a bad feeling. This situation makes me nervous.,fear
I'm feeling amazing today! I can't stop smiling. Life is wonderful.,joy
"What a surprise! Wow, I didn't expect that! That really shocked me.",surprise
Everything seems so gloomy.,sadness
I'm scared of what will happen. I have a bad feeling. I'm terrified right now.,fear
I'm terrified right now. This gives me anxiety.,fear
Life is wonderful.,joy
I'm terrified right now. I'm terrified right now. This situation makes me nervous.,fear
Life is wonderful. This makes me really happy.,joy
Life is wonderful. I'm feeling amazing today!,joy
"That really shocked me. Wow, I didn't expect that!",surprise
That really shocked me. I can't believe it!,surprise
"Wow, I didn't expect that! I can't believe it!",surprise
I'm feeling amazing today! Life is wonderful.,joy
I'm furious about what happened. I can't believe they did that.,anger
This is completely unacceptable. That really pissed me off.,anger
That really shocked me. That's so unexpected.,surprise
What a surprise!,surprise
What a beautiful day!,joy
My heart is full of love. I love you so much.,love
This is completely unacceptable. That really pissed me off. I'm so angry right now.,anger
This makes me really happy. What a beautiful day!,joy
I adore everything about you. My heart is full of love.,love
Life is wonderful. I can't stop smiling. I'm feeling amazing today!,joy
I love you so much. I love you so much.,love
This situation makes me nervous. I'm scared of what will happen.,fear
I can't stop smiling. Life is wonderful. Life is wonderful.,joy
This makes me feel hopeless. I'm feeling down today. This makes me feel hopeless.,sadness
I'm so angry right now. That really pissed me off.,anger
This makes me feel hopeless. I just want to cry. Everything seems so gloomy.,sadness
What a beautiful day! What a beautiful day! Life is wonderful.,joy
I miss the good old days. I just want to cry. I just want to cry.,sadness
I'm furious about what happened. I'm so angry right now.,anger
I'm feeling amazing today! Life is wonderful.,joy
I miss the good old days. Everything seems so gloomy. This makes me feel hopeless.,sadness
I'm furious about what happened.,anger
My heart is full of love. I adore everything about you. I feel so close to you.,love
This situation makes me nervous. I have a bad feeling.,fear
I'm so angry right now. That really pissed me off.,anger
I feel so close to you. My heart is full of love. I feel so close to you.,love
I'm feeling amazing today! Life is wonderful.,joy
I just want to cry.,sadness
That really shocked me.,surprise
Life is wonderful. I can't stop smiling.,joy
This gives me anxiety. This situation makes me nervous.,fear
"Wow, I didn't expect that! Wow, I didn't expect that! What a surprise!",surprise
Life is wonderful. Life is wonderful.,joy
I feel so close to you. I adore everything about you. You're the best thing in my life.,love
I can't believe they did that. I'm furious about what happened. I'm so angry right now.,anger
I can't believe it! What a surprise!,surprise
Life is wonderful.,joy
I'm feeling down today. I'm feeling down today. This makes me feel hopeless.,sadness
I'm terrified right now. I have a bad feeling.,fear
I have a bad feeling.,fear
That really pissed me off. I'm furious about what happened.,anger
I'm so angry right now. I'm furious about what happened.,anger
I'm feeling down today. This makes me feel hopeless.,sadness
What a surprise!,surprise
I can't believe it! I can't believe it!,surprise
I can't believe it!,surprise
I miss the good old days. This makes me feel hopeless.,sadness
I love you so much.,love
This situation makes me nervous. I'm terrified right now. This gives me anxiety.,fear
You're the best thing in my life. I adore everything about you.,love
I miss the good old days. I just want to cry.,sadness
What a surprise! That's so unexpected.,surprise
This gives me anxiety. I have a bad feeling.,fear
"Wow, I didn't expect that! I can't believe it!",surprise
This gives me anxiety. This gives me anxiety.,fear
I'm so angry right now.,anger
I feel so close to you. I adore everything about you.,love
I can't stop smiling. This makes me really happy.,joy
I can't believe they did that.,anger
I'm furious about what happened. I'm furious about what happened.,anger
I can't believe it! I can't believe it!,surprise
What a beautiful day! I'm feeling amazing today!,joy
I feel so close to you.,love
I feel so close to you. I love you so much.,love
I'm feeling amazing today!,joy
This gives me anxiety. I have a bad feeling.,fear
I can't stop smiling.,joy
That really shocked me. I can't believe it!,surprise
I'm furious about what happened. I can't believe they did that. This is completely unacceptable.,anger
This situation makes me nervous.,fear
This gives me anxiety.,fear
That really pissed me off. I can't believe they did that.,anger
What a surprise! That really shocked me.,surprise
This gives me anxiety. This situation makes me nervous.,fear
I miss the good old days. I'm feeling down today. I just want to cry.,sadness
This makes me really happy.,joy
I'm scared of what will happen.,fear
What a beautiful day!,joy
I adore everything about you. You're the best thing in my life. I feel so close to you.,love
This makes me feel hopeless. This makes me feel hopeless. This makes me feel hopeless.,sadness
This makes me really happy. Life is wonderful.,joy
I'm feeling amazing today! I'm feeling amazing today!,joy
This makes me really happy.,joy
I can't believe they did that. That really pissed me off. That really pissed me off.,anger
I can't believe they did that. This is completely unacceptable.,anger
Everything seems so gloomy. This makes me feel hopeless. I miss the good old days.,sadness
That really pissed me off.,anger
I adore everything about you.,love
I'm furious about what happened. I can't believe they did that. I can't believe they did that.,anger
I'm terrified right now.,fear
I love you so much.,love
I love you so much.,love
That really shocked me.,surprise
I'm terrified right now.,fear
My heart is full of love. I feel so close to you.,love
My heart is full of love. I love you so much. My heart is full of love.,love
I can't stop smiling.,joy
That really pissed me off. I can't believe they did that.,anger
My heart is full of love.,love
I'm so angry right now. That really pissed me off. I can't believe they did that.,anger
I feel so close to you.,love
I'm scared of what will happen. This situation makes me nervous.,fear
Everything seems so gloomy.,sadness
Everything seems so gloomy. Everything seems so gloomy.,sadness
I just want to cry.,sadness
I can't stop smiling. Life is wonderful. I can't stop smiling.,joy
What a surprise!,surprise
This situation makes me nervous.,fear
Life is wonderful. What a beautiful day!,joy
I'm scared of what will happen.,fear
I feel so close to you.,love
What a surprise!,surprise
I can't stop smiling. What a beautiful day! I'm feeling amazing today!,joy
"Wow, I didn't expect that!",surprise
This gives me anxiety. This situation makes me nervous.,fear
I have a bad feeling.,fear
This is completely unacceptable. I can't believe they did that.,anger
I'm feeling amazing today! I'm feeling amazing today! Life is wonderful.,joy
I'm scared of what will happen. I'm terrified right now.,fear
I just want to cry. Everything seems so gloomy. I'm feeling down today.,sadness
This makes me feel hopeless. I miss the good old days. Everything seems so gloomy.,sadness
That really shocked me.,surprise
I'm terrified right now.,fear
I'm feeling amazing today! I can't stop smiling.,joy
I feel so close to you.,love
My heart is full of love. You're the best thing in my life.,love
Life is wonderful. I'm feeling amazing today! What a beautiful day!,joy
I can't believe they did that.,anger
That really pissed me off. This is completely unacceptable. I can't believe they did that.,anger
What a beautiful day!,joy
This makes me really happy. Life is wonderful.,joy
I can't stop smiling. I'm feeling amazing today! What a beautiful day!,joy
I'm feeling amazing today!,joy
I miss the good old days.,sadness
I love you so much. I love you so much.,love
That really shocked me. That really shocked me.,surprise
This is completely unacceptable.,anger
I'm scared of what will happen. I'm scared of what will happen.,fear
I can't stop smiling. What a beautiful day! This makes me really happy.,joy
That really shocked me.,surprise
I love you so much.,love
This is completely unacceptable. I can't believe they did that. I'm so angry right now.,anger
I love you so much. You're the best thing in my life. My heart is full of love.,love
I adore everything about you.,love
I'm scared of what will happen. This situation makes me nervous.,fear
What a surprise! What a surprise! I can't believe it!,surprise
What a beautiful day!,joy
Everything seems so gloomy. Everything seems so gloomy.,sadness
I just want to cry.,sadness
This gives me anxiety. I'm terrified right now. This gives me anxiety.,fear
That really shocked me.,surprise
"What a surprise! I can't believe it! Wow, I didn't expect that!",surprise
I miss the good old days. I miss the good old days.,sadness
What a beautiful day!,joy
Everything seems so gloomy. I miss the good old days. Everything seems so gloomy.,sadness
This makes me really happy. I can't stop smiling.,joy
That's so unexpected. I can't believe it! What a surprise!,surprise
You're the best thing in my life.,love
That really shocked me.,surprise
I adore everything about you. I feel so close to you. I love you so much.,love
What a beautiful day! Life is wonderful. I can't stop smiling.,joy
You're the best thing in my life. I feel so close to you. I love you so much.,love
I can't believe they did that. That really pissed me off.,anger
I'm feeling down today. I'm feeling down today. This makes me feel hopeless.,sadness
This makes me feel hopeless.,sadness
